MARKET,TF,MEAN,BREAKOUT,RTM,RTM_PERCENT,BO_PERCENT,EXIT_PERCENT,STOP_PERC,sharpe_ratio
BTC-MCO,5,8,True,True,3.0,1.0,5.0,5.0,0.587949889761
BTC-MCO,5,8,True,True,2.0,1.0,10.0,5.0,0.522650392667
BTC-STRAT,5,8,True,True,5.0,1.0,1.0,5.0,-0.187333596159
BTC-LTC,5,20,True,True,3.0,1.0,1.0,10.0,0.132489202655
BTC-LSK,5,8,True,True,2.0,1.0,1.0,10.0,0.0785319696057
BTC-ADX,5,20,True,True,5.0,1.0,10.0,5.0,0.594538790587
BTC-ETC,5,8,True,True,2.0,1.0,10.0,10.0,0.147487061909
BTC-OMG,5,8,True,True,2.0,1.0,10.0,15.0,0.194888714562
BTC-LTC,5,8,True,True,5.0,1.0,5.0,10.0,0.0443782908977
BTC-QTUM,5,20,True,True,2.0,1.0,1.0,15.0,0.335299735658
BTC-XMR,5,8,True,True,2.0,1.0,5.0,10.0,0.372710042606
BTC-APX,5,20,True,True,3.0,1.0,10.0,10.0,0.575251315771
BTC-ETH,5,20,True,True,5.0,1.0,10.0,15.0,0.141491169187
BTC-OMG,5,20,True,True,5.0,1.0,10.0,15.0,0.260734941421
BTC-OMG,5,8,True,True,3.0,1.0,5.0,5.0,0.295248126166
BTC-PAY,5,20,True,True,3.0,1.0,10.0,15.0,0.188993112318
BTC-BCC,5,8,True,True,2.0,1.0,10.0,5.0,0.308153349932
BTC-RISE,5,20,True,True,2.0,1.0,1.0,5.0,0.6601852107
BTC-APX,5,8,True,True,2.0,1.0,1.0,10.0,0.207861078612
BTC-QTUM,5,20,True,True,3.0,1.0,1.0,10.0,0.164000820805
BTC-QTUM,5,8,True,True,5.0,1.0,10.0,5.0,0.0542816990766
BTC-NEO,5,20,True,True,5.0,1.0,10.0,10.0,0.166046361617
BTC-QTUM,5,20,True,True,3.0,1.0,5.0,10.0,0.483691748605
BTC-OMG,5,20,True,True,2.0,1.0,10.0,5.0,0.34422816612
BTC-ETH,5,8,True,True,3.0,1.0,10.0,5.0,0.0740115761061
BTC-ADX,5,8,True,True,5.0,1.0,1.0,10.0,-0.308304153648
BTC-NAV,5,8,True,True,5.0,1.0,10.0,15.0,0.425484687253
BTC-BAT,5,8,True,True,2.0,1.0,5.0,5.0,0.324991260237
BTC-XMR,5,8,True,True,5.0,1.0,10.0,5.0,0.228849149961
BTC-BAT,5,20,True,True,2.0,1.0,1.0,15.0,0.445359978472
BTC-TRIG,5,8,True,True,2.0,1.0,10.0,10.0,0.600817445464
BTC-NEO,5,8,True,True,3.0,1.0,5.0,15.0,0.121170838764
BTC-TRIG,5,20,True,True,3.0,1.0,5.0,15.0,1.03648645941
BTC-LSK,5,8,True,True,5.0,1.0,5.0,15.0,0.174102484304
BTC-XRP,5,20,True,True,5.0,1.0,10.0,15.0,0.247557815079
BTC-APX,5,8,True,True,5.0,1.0,1.0,15.0,0.0047092030419
BTC-LTC,5,8,True,True,2.0,1.0,10.0,15.0,0.183481057313
BTC-APX,5,20,True,True,3.0,1.0,5.0,5.0,1.0446091416
BTC-LTC,5,8,True,True,2.0,1.0,10.0,10.0,0.186551972863
BTC-TRIG,5,8,True,True,3.0,1.0,5.0,10.0,0.649067496261
BTC-QTUM,5,8,True,True,3.0,1.0,5.0,10.0,0.19206781465
BTC-BCC,5,20,True,True,3.0,1.0,5.0,15.0,0.574138969095
BTC-LTC,5,8,True,True,5.0,1.0,10.0,15.0,0.154879509283
BTC-TRIG,5,8,True,True,5.0,1.0,10.0,5.0,0.563239579022
BTC-STRAT,5,20,True,True,2.0,1.0,5.0,5.0,0.427314943777
BTC-TRIG,5,20,True,True,3.0,1.0,1.0,10.0,0.215212864709
BTC-XRP,5,8,True,True,2.0,1.0,1.0,15.0,-0.0457070577438
BTC-MTL,5,20,True,True,3.0,1.0,10.0,5.0,0.301065088363
BTC-MCO,5,20,True,True,5.0,1.0,1.0,10.0,-0.0598591384063
BTC-XVG,5,20,True,True,5.0,1.0,10.0,10.0,0.402863670707
BTC-TRIG,5,20,True,True,3.0,1.0,10.0,5.0,0.938345230571
BTC-ETC,5,8,True,True,3.0,1.0,5.0,15.0,0.136844130772
BTC-MTL,5,8,True,True,3.0,1.0,10.0,5.0,0.223833294103
BTC-OMG,5,8,True,True,3.0,1.0,10.0,5.0,0.233079278912
BTC-NAV,5,8,True,True,3.0,1.0,1.0,10.0,-0.086662207931
BTC-BCC,5,8,True,True,2.0,1.0,10.0,10.0,0.287047994163
BTC-XVG,5,8,True,True,3.0,1.0,1.0,5.0,-0.212559904112
BTC-STRAT,5,20,True,True,5.0,1.0,5.0,5.0,0.257127841459
BTC-TRIG,5,8,True,True,3.0,1.0,5.0,15.0,0.602782095139
BTC-XMR,5,8,True,True,5.0,1.0,1.0,5.0,-0.0237759144983
BTC-STRAT,5,8,True,True,5.0,1.0,5.0,5.0,0.0598367396557
BTC-ETC,5,20,True,True,3.0,1.0,1.0,10.0,0.119020388011
BTC-RISE,5,20,True,True,3.0,1.0,10.0,5.0,0.882964060039
BTC-XMR,5,20,True,True,3.0,1.0,1.0,5.0,0.493168759431
BTC-NAV,5,20,True,True,3.0,1.0,1.0,10.0,0.296917095776
BTC-TRIG,5,8,True,True,3.0,1.0,5.0,5.0,0.762186077868
BTC-MTL,5,8,True,True,2.0,1.0,1.0,5.0,-0.0474370650458
BTC-OMG,5,20,True,True,3.0,1.0,5.0,10.0,0.513373236551
BTC-XVG,5,8,True,True,2.0,1.0,10.0,5.0,0.275513283108
BTC-NAV,5,20,True,True,3.0,1.0,5.0,10.0,1.0010587784
BTC-LSK,5,8,True,True,3.0,1.0,1.0,10.0,-0.0650288463592
BTC-ETH,5,8,True,True,3.0,1.0,1.0,10.0,-0.161469671566
BTC-BAT,5,20,True,True,5.0,1.0,5.0,5.0,0.294193324208
BTC-XVG,5,8,True,True,3.0,1.0,5.0,15.0,0.232327727218
BTC-LSK,5,20,True,True,2.0,1.0,10.0,10.0,0.481204739958
BTC-BAT,5,20,True,True,3.0,1.0,5.0,10.0,0.446169339023
BTC-MTL,5,8,True,True,5.0,1.0,10.0,5.0,0.116656827961
BTC-BCC,5,8,True,True,3.0,1.0,10.0,10.0,0.268187260103
BTC-LSK,5,20,True,True,3.0,1.0,1.0,5.0,0.265272870687
BTC-OMG,5,8,True,True,3.0,1.0,1.0,10.0,-0.148246959647
BTC-BAT,5,8,True,True,2.0,1.0,10.0,15.0,0.0996585672274
BTC-LTC,5,20,True,True,3.0,1.0,10.0,15.0,0.228100104266
BTC-STRAT,5,8,True,True,2.0,1.0,5.0,5.0,0.229517607106
